label,start,end,note,unknown_1
FOOD/500/20,2024-11-04T07:30:00+01:00,"{'dateTime': '2024-11-04T08:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-04T11:00:00+01:00,"{'dateTime': '2024-11-04T11:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-04T16:00:00+01:00,"{'dateTime': '2024-11-04T16:30:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",0
FOOD/1000/10,2024-11-04T16:30:00+01:00,"{'dateTime': '2024-11-04T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Protein bars, candy",0
FOOD/500/20,2024-11-05T06:30:00+01:00,"{'dateTime': '2024-11-05T07:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-05T10:00:00+01:00,"{'dateTime': '2024-11-05T10:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/150/2,2024-11-05T12:30:00+01:00,"{'dateTime': '2024-11-05T13:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Sandwish, butter, peanut butter",1
FOOD/115/0,2024-11-05T14:00:00+01:00,"{'dateTime': '2024-11-05T14:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",Carbs,0
FOOD/500/20,2024-11-05T16:30:00+01:00,"{'dateTime': '2024-11-05T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",0
FOOD/400/10,2024-11-05T17:00:00+01:00,"{'dateTime': '2024-11-05T17:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein bars,0
FOOD/500/20,2024-11-06T06:30:00+01:00,"{'dateTime': '2024-11-06T07:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-06T10:00:00+01:00,"{'dateTime': '2024-11-06T10:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/150/2,2024-11-06T13:00:00+01:00,"{'dateTime': '2024-11-06T13:30:00+01:00', 'timeZone': 'Europe/Stockholm'}","Sandwish, butter, peanut butter",0
FOOD/500/20,2024-11-06T16:30:00+01:00,"{'dateTime': '2024-11-06T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, kaki, veg sausage, coleslaw, plum, egg, mozzarella",0
FOOD/500/10,2024-11-06T17:00:00+01:00,"{'dateTime': '2024-11-06T17:30:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein bars,0
FOOD/500/20,2024-11-07T07:30:00+01:00,"{'dateTime': '2024-11-07T08:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/150/2,2024-11-07T13:30:00+01:00,"{'dateTime': '2024-11-07T14:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Sandwish, butter, peanut butter",0
FOOD/115/0,2024-11-07T14:30:00+01:00,"{'dateTime': '2024-11-07T15:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Carbs,0
FOOD/500/20,2024-11-07T16:00:00+01:00,"{'dateTime': '2024-11-07T16:30:00+01:00', 'timeZone': 'Europe/Stockholm'}","Broccoli, veg. burger, halloumi, egg, watermelon, grapes, coleslaw, bea",0
FOOD/300/20,2024-11-07T16:30:00+01:00,"{'dateTime': '2024-11-07T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Proteinbars,0
FOOD/500/20,2024-11-08T06:20:00+01:00,"{'dateTime': '2024-11-08T06:50:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-08T09:30:00+01:00,"{'dateTime': '2024-11-08T10:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-08T14:55:00+01:00,"{'dateTime': '2024-11-08T15:25:00+01:00', 'timeZone': 'Europe/Stockholm'}","Watermelon, grapes, coleslaw, veg sausage, broccoli, bea, halloumi, egg",1
FOOD/500/10,2024-11-08T15:30:00+01:00,"{'dateTime': '2024-11-08T16:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein bars,0
FOOD/140/25,2024-11-09T04:38:00+01:00,"{'dateTime': '2024-11-09T05:08:00+01:00', 'timeZone': 'Europe/Stockholm'}",Protein shake,2
FOOD/500/20,2024-11-09T07:43:00+01:00,"{'dateTime': '2024-11-09T08:13:00+01:00', 'timeZone': 'Europe/Stockholm'}",Porridge,0
FOOD/500/20,2024-11-09T10:32:00+01:00,"{'dateTime': '2024-11-09T11:02:00+01:00', 'timeZone': 'Europe/Stockholm'}",Indian curry with rice and <span>chickpeas</span>,0
FOOD/250/15,2024-11-09T13:45:00+01:00,"{'dateTime': '2024-11-09T14:15:00+01:00', 'timeZone': 'Europe/Stockholm'}","Protein bar, piece of choclate/coffe",0
FOOD/500/15,2024-11-09T16:30:00+01:00,"{'dateTime': '2024-11-09T17:00:00+01:00', 'timeZone': 'Europe/Stockholm'}","Falaffel, egg, halloumi, watermelon, broccoli, grapes, coleslaw, bea",0
FOOD/500/15,2024-11-09T17:00:00+01:00,"{'dateTime': '2024-11-09T17:30:00+01:00', 'timeZone': 'Europe/Stockholm'}","Protein bar, candy",0
