label,start,end,note,unknown_1
"WALK/8,93/508",2024-11-04T04:41:00+01:00,"{'dateTime': '2024-11-04T06:29:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,65/454",2024-11-04T11:21:00+01:00,"{'dateTime': '2024-11-04T13:00:00+01:00', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,38/363",2024-11-05T04:25:00+01:00,"{'dateTime': '2024-11-05T06:09:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,38/428",2024-11-05T10:53:00+01:00,"{'dateTime': '2024-11-05T12:41:00+01:00', 'timeZone': 'Europe/Stockholm'}",18,18
"WALK/8,79/478",2024-11-06T04:22:00+01:00,"{'dateTime': '2024-11-06T06:07:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,58/438",2024-11-06T10:47:00+01:00,"{'dateTime': '2024-11-06T12:28:00+01:00', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,47/423",2024-11-07T05:35:00+01:00,"{'dateTime': '2024-11-07T07:14:00+01:00', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,22/396",2024-11-07T11:05:00+01:00,"{'dateTime': '2024-11-07T12:39:00+01:00', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,41/443",2024-11-08T04:13:00+01:00,"{'dateTime': '2024-11-08T05:58:00+01:00', 'timeZone': 'Europe/Stockholm'}",14,14
"WALK/7,91/458",2024-11-08T10:12:00+01:00,"{'dateTime': '2024-11-08T11:57:00+01:00', 'timeZone': 'Europe/Stockholm'}",17,17
"WALK/8,49/435",2024-11-09T05:21:00+01:00,"{'dateTime': '2024-11-09T07:03:00+01:00', 'timeZone': 'Europe/Stockholm'}",14,14
"WALK/8,68/492",2024-11-09T11:16:00+01:00,"{'dateTime': '2024-11-09T13:05:00+01:00', 'timeZone': 'Europe/Stockholm'}",0,0
