label,start,end,note,unknown_1
"WALK/8,93/508",2024-11-04T03:41:00Z,"{'dateTime': '2024-11-04T05:29:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,65/454",2024-11-04T10:21:00Z,"{'dateTime': '2024-11-04T12:00:00Z', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,38/363",2024-11-05T03:25:00Z,"{'dateTime': '2024-11-05T05:09:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,38/428",2024-11-05T09:53:00Z,"{'dateTime': '2024-11-05T11:41:00Z', 'timeZone': 'Europe/Stockholm'}",18,18
"WALK/8,79/478",2024-11-06T03:22:00Z,"{'dateTime': '2024-11-06T05:07:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,58/438",2024-11-06T09:47:00Z,"{'dateTime': '2024-11-06T11:28:00Z', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,47/423",2024-11-07T04:35:00Z,"{'dateTime': '2024-11-07T06:14:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
"WALK/7,22/396",2024-11-07T10:05:00Z,"{'dateTime': '2024-11-07T11:39:00Z', 'timeZone': 'Europe/Stockholm'}",19,19
"WALK/8,41/443",2024-11-08T03:13:00Z,"{'dateTime': '2024-11-08T04:58:00Z', 'timeZone': 'Europe/Stockholm'}",14,14
"WALK/7,91/458",2024-11-08T09:12:00Z,"{'dateTime': '2024-11-08T10:57:00Z', 'timeZone': 'Europe/Stockholm'}",17,17
"WALK/8,49/435",2024-11-09T04:21:00Z,"{'dateTime': '2024-11-09T06:01:00Z', 'timeZone': 'Europe/Stockholm'}",14,14
Asta / Liv / Aston,2024-11-12T08:30:00Z,"{'dateTime': '2024-11-12T10:00:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
Asta / Liv / Aston,2024-11-15T08:30:00Z,"{'dateTime': '2024-11-15T10:00:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
Asta / Liv / Aston,2024-11-19T08:30:00Z,"{'dateTime': '2024-11-19T10:00:00Z', 'timeZone': 'Europe/Stockholm'}",15,15
