label,start,end,note,unknown_1
"WALK/8,41/443",2024-11-08 04:13:00+01:00,2024-11-08 05:58:00+01:00,None,None
"WALK/8,93/508",2024-11-04 04:41:00+01:00,2024-11-04 06:29:00+01:00,None,None
"WALK/7,65/454",2024-11-04 11:21:00+01:00,2024-11-04 13:00:00+01:00,None,None
"WALK/8,38/363",2024-11-05 04:25:00+01:00,2024-11-05 06:09:00+01:00,None,None
"WALK/7,38/428",2024-11-05 10:53:00+01:00,2024-11-05 12:41:00+01:00,None,None
"WALK/8,79/478",2024-11-06 04:22:00+01:00,2024-11-06 06:07:00+01:00,None,None
"WALK/7,58/438",2024-11-06 10:47:00+01:00,2024-11-06 12:28:00+01:00,None,None
"WALK/8,47/423",2024-11-07 05:35:00+01:00,2024-11-07 07:14:00+01:00,None,None
"WALK/7,22/396",2024-11-07 11:05:00+01:00,2024-11-07 12:39:00+01:00,None,None
"WALK/7,91/458",2024-11-08 10:12:00+01:00,2024-11-08 11:57:00+01:00,None,None
